window_start,packet_count,unique_src_ips,unique_dst_ips,unique_src_ports,unique_dst_ports,tcp_count,udp_count,syn_count,ack_count,rst_count,fin_count,avg_packet_len,max_packet_len,min_packet_len
2026-05-15 00:41:15,6416,13,13,18,18,67,6349,2,64,3,4,623.1769014962593,16460,50
2026-05-15 00:41:30,7222,10,11,18,18,83,7139,2,80,2,2,556.1168651343119,5686,50
2026-05-15 00:41:45,6062,19,17,22,22,101,5952,2,97,4,4,494.4902672385351,12209,50
2026-05-15 00:42:00,4476,11,14,23,23,61,4415,4,59,0,6,457.74553172475424,2885,50
2026-05-15 00:42:15,3890,12,12,20,20,44,3846,0,44,0,0,358.9051413881748,2885,50
2026-05-15 00:42:30,3385,11,11,16,18,37,3348,0,37,2,0,344.5834564254062,2473,50
2026-05-15 00:42:45,2953,10,10,15,15,38,2915,0,38,1,2,367.776498476126,2885,50
2026-05-15 00:43:00,3433,16,18,30,27,92,3339,4,90,1,4,357.7908534809205,5651,50
2026-05-15 00:43:15,3565,11,11,16,16,39,3525,0,39,0,0,359.9680224403927,1256,50
2026-05-15 00:43:30,3681,11,12,20,20,224,3457,5,218,3,4,418.35180657430044,30210,50
2026-05-15 00:43:45,4426,12,12,16,16,53,4370,0,53,1,4,450.99322187076365,2885,50
2026-05-15 00:44:00,6718,12,16,26,24,110,6602,7,106,0,6,516.8815123548675,1514,50
2026-05-15 00:44:15,7277,13,14,28,28,223,7054,21,213,0,20,613.0457606156383,10626,50
2026-05-15 00:44:30,6425,7,8,13,13,39,6386,0,39,0,0,606.7537743190661,1257,50
2026-05-15 00:44:45,7394,10,11,16,16,77,7316,0,77,0,0,671.2533134974303,2885,50
2026-05-15 00:45:00,6867,18,20,40,37,174,6693,10,169,0,9,621.8217562254259,9132,50
2026-05-15 00:45:15,7023,11,11,19,19,71,6952,2,70,0,2,620.6363377474014,2741,50
2026-05-15 00:45:30,6921,9,10,18,18,39,6882,0,39,0,0,609.1046091605259,15158,50
2026-05-15 00:45:45,6919,10,10,15,15,71,6848,2,67,3,2,621.7829166064461,4815,50
2026-05-15 00:46:00,7088,14,14,22,22,89,6989,4,87,0,8,655.0514954853273,1257,50
2026-05-15 00:46:15,7146,9,9,14,14,52,7094,2,51,0,0,681.6266442765183,6344,50
2026-05-15 00:46:30,6564,10,11,16,16,116,6448,4,114,0,2,637.8590798293724,16460,50
2026-05-15 00:46:45,6443,10,10,16,16,153,6290,4,148,4,4,647.650473381965,16460,50
2026-05-15 00:47:00,6764,11,13,24,24,83,6681,4,76,6,4,642.3392962743939,14421,50
2026-05-15 00:47:15,7031,12,11,16,17,73,6958,2,72,1,2,656.4767458398521,5510,50
2026-05-15 00:47:30,5625,9,11,16,16,61,5564,2,60,0,2,448.87804444444447,12852,50
2026-05-15 00:47:45,6086,9,9,15,15,95,5991,4,92,1,2,496.7311863292803,4841,50
2026-05-15 00:48:00,5522,12,15,25,25,176,5343,8,168,5,10,404.2575153929736,1510,50
2026-05-15 00:48:15,7083,12,10,15,15,33,7044,0,33,0,0,633.9751517718481,1258,50
2026-05-15 00:48:30,6640,9,10,15,15,51,6589,0,51,0,0,641.4771084337349,1257,50
2026-05-15 00:48:45,6063,11,11,21,21,136,5927,8,131,6,10,573.3617021276596,14414,50
2026-05-15 00:49:00,4822,11,13,25,22,45,4777,0,45,0,2,441.4883865615927,1292,50
2026-05-15 00:49:15,6762,14,14,21,21,139,6623,8,133,4,6,661.801685891748,14414,50
2026-05-15 00:49:30,6255,8,9,14,14,36,6219,0,36,0,0,669.2976818545164,1254,50
2026-05-15 00:49:45,5528,11,12,17,17,54,5469,0,54,2,4,586.0094066570188,2885,50
2026-05-15 00:50:00,4566,10,12,21,21,66,4500,4,64,0,4,345.4391151992992,1292,50
2026-05-15 00:50:15,5994,12,11,26,15,15,5969,0,15,0,0,656.2472472472473,1256,50
2026-05-15 00:50:30,6156,7,9,17,17,11,6145,0,11,0,0,684.5510071474984,1254,50
2026-05-15 00:50:45,5861,9,9,14,14,49,5812,0,49,0,0,653.7416823067736,2885,50
2026-05-15 00:51:00,4618,9,11,23,20,25,4593,0,25,0,0,340.65482893027286,1254,50
2026-05-15 00:51:15,5396,9,9,14,14,18,5378,0,18,0,0,556.8174573758339,1256,50
2026-05-15 00:51:30,6050,9,10,15,15,56,5993,0,56,0,2,695.4793388429752,1254,50
2026-05-15 00:51:45,5806,8,8,16,16,35,5771,0,35,0,0,658.9574578022736,2885,50
2026-05-15 00:52:00,4602,7,10,15,15,27,4575,0,27,0,0,338.4111255975663,1254,50
2026-05-15 00:52:15,5175,10,9,13,13,33,5139,0,33,0,0,470.8170048309179,1256,50
2026-05-15 00:52:30,6320,10,9,14,14,22,6291,0,22,0,0,669.7598101265822,1254,50
2026-05-15 00:52:45,6241,8,8,13,13,36,6205,0,36,0,0,661.280884473642,2885,50
2026-05-15 00:53:00,4866,15,17,33,30,128,4738,8,124,2,8,397.5452116728319,10225,50
2026-05-15 00:53:15,4885,9,10,15,15,21,4862,0,21,0,0,393.11709314227227,1256,50
2026-05-15 00:53:30,4705,8,9,14,14,40,4663,0,40,0,0,434.6142401700319,1254,50
2026-05-15 00:53:45,4796,8,8,13,13,25,4771,0,25,0,0,437.1836947456213,2885,50
2026-05-15 00:54:00,6259,8,10,19,19,56,6203,4,54,0,4,526.6537785588753,1257,50
2026-05-15 00:54:15,5444,9,9,14,14,56,5388,2,55,0,2,533.2893093313739,2731,50
2026-05-15 00:54:30,4475,12,11,18,18,62,4403,0,62,0,0,368.03620111731846,2885,50
2026-05-15 00:54:45,5055,7,7,12,12,40,5015,0,40,0,0,471.68921859545003,2885,50
2026-05-15 00:55:00,5480,11,13,28,25,28,5452,0,28,0,0,531.3662408759124,1292,50
2026-05-15 00:55:15,5101,8,8,13,13,20,5081,0,20,0,0,371.6632032934719,1257,50
2026-05-15 00:55:30,5530,8,10,18,18,23,5507,0,23,0,0,353.4611211573237,1256,50
2026-05-15 00:55:45,6302,8,8,13,13,35,6267,0,35,0,0,396.22294509679466,2885,50
2026-05-15 00:56:00,5537,11,14,22,22,157,5378,10,152,0,10,457.7980856059238,12554,50
2026-05-15 00:56:15,5239,8,8,13,13,27,5212,0,27,0,0,456.51593815613666,1257,50
2026-05-15 00:56:30,4911,12,10,14,14,11,4894,0,11,0,0,455.4555080431684,1257,50
2026-05-15 00:56:45,5130,10,10,15,15,217,4909,4,215,0,2,522.6101364522417,16460,50
2026-05-15 00:57:00,7210,16,18,32,29,699,6511,12,689,4,10,708.3062413314841,20158,50
2026-05-15 00:57:15,6748,12,13,20,20,225,6523,8,216,5,8,704.1530823947836,28774,50
2026-05-15 00:57:30,6059,6,7,12,12,31,6028,0,31,0,0,613.1742861858393,1254,50
2026-05-15 00:57:45,7391,10,10,17,17,80,7311,4,76,3,2,726.2946827222297,11212,50
2026-05-15 00:58:00,5681,9,12,21,21,36,5643,4,34,0,4,392.2985389896145,1257,50
2026-05-15 00:58:15,6397,11,11,19,19,65,6332,2,64,0,2,367.03892449585743,7186,50
2026-05-15 00:58:30,6217,10,11,16,16,42,6175,0,42,0,0,352.15972333923116,12503,50
2026-05-15 00:58:45,6640,18,15,20,20,146,6484,10,138,3,2,646.4628012048192,4817,50
2026-05-15 00:59:00,6776,12,14,27,24,64,6712,2,63,1,2,669.6140791027154,1836,50
2026-05-15 00:59:15,7228,14,14,19,19,191,7037,2,188,3,4,692.6377974543442,34518,50
2026-05-15 00:59:30,6731,11,12,17,17,57,6673,2,53,3,2,667.4905660377359,14414,50
2026-05-15 00:59:45,6740,8,8,13,13,37,6703,0,37,1,2,649.0543026706232,2885,50
2026-05-15 01:00:00,6646,9,12,21,21,38,6606,4,36,0,4,640.172585013542,1292,50
2026-05-15 01:00:15,6927,11,11,16,16,25,6902,0,25,0,4,656.056590154468,1256,50
2026-05-15 01:00:30,7152,11,13,21,21,26,7124,0,26,0,4,676.3157158836689,1257,50
2026-05-15 01:00:45,5730,12,12,18,18,107,5617,8,101,2,6,421.92722513089006,5332,50
2026-05-15 01:01:00,6149,15,16,27,25,62,6085,2,61,0,2,388.53878679460075,9472,50
2026-05-15 01:01:15,6415,10,10,18,18,44,6371,2,42,2,2,381.6132501948558,4622,50
2026-05-15 01:01:30,5181,8,9,17,17,23,5158,0,23,0,0,392.5170816444702,2885,50
2026-05-15 01:01:45,4466,10,11,16,16,27,4439,0,27,0,0,438.4670846394984,2885,50
2026-05-15 01:02:00,4174,11,14,26,26,112,4062,6,109,0,4,377.3842836607571,5518,50
2026-05-15 01:02:15,4538,14,14,20,20,401,4137,14,394,1,8,418.4363155575143,16460,50
2026-05-15 01:02:30,4535,12,13,20,20,312,4223,8,304,6,8,359.8758544652701,19101,50
2026-05-15 01:02:45,4039,12,12,18,18,252,3787,6,245,5,8,377.5424610051993,18326,50
2026-05-15 01:03:00,4521,18,17,28,25,78,4433,4,75,2,2,311.669099756691,5706,50
2026-05-15 01:03:15,3898,11,11,17,17,70,3828,2,66,3,2,340.47357619291944,10649,50
2026-05-15 01:03:30,4351,10,12,29,29,68,4283,2,67,1,2,306.88646288209605,2158,50
2026-05-15 01:03:45,4036,8,8,13,13,38,3998,0,38,0,2,314.7742814667988,2885,50
2026-05-15 01:04:00,4271,13,16,25,25,52,4218,4,50,0,4,313.7099040037462,2885,50
2026-05-15 01:04:15,4025,13,13,18,18,85,3939,0,85,1,2,350.4688198757764,16460,50
2026-05-15 01:04:30,4830,10,11,19,19,111,4719,2,108,3,4,367.4445134575569,28774,50
2026-05-15 01:04:45,6055,12,15,32,21,64,5986,2,62,3,4,427.1565648224608,5686,50
2026-05-15 01:05:00,7475,17,17,28,25,83,7382,2,80,3,2,608.2886956521739,14414,50
2026-05-15 01:05:15,7868,9,9,14,14,28,7840,0,28,1,2,621.6337061514997,1257,50
2026-05-15 01:05:30,7991,8,9,17,17,31,7960,0,31,0,0,647.8839944938055,1257,50
2026-05-15 01:05:45,7356,9,9,14,14,27,7329,0,27,0,0,623.9151712887439,2885,50
2026-05-15 01:06:00,7414,7,10,19,19,45,7369,4,43,0,4,578.8744267601834,1257,50
2026-05-15 01:06:15,7243,7,7,12,12,21,7222,0,21,0,0,537.8825072483777,1257,50
2026-05-15 01:06:30,7514,10,11,16,16,113,7401,2,112,0,2,579.5215597551238,10798,50
2026-05-15 01:06:45,6806,8,9,14,13,28,6778,0,28,0,0,527.5916838084044,8487,50
2026-05-15 01:07:00,6102,13,15,30,27,27,6074,0,27,0,0,527.6928875778433,1292,50
2026-05-15 01:07:15,6276,14,11,15,15,26,6240,0,26,0,0,441.5564053537285,2473,50
2026-05-15 01:07:30,6782,8,9,14,14,43,6739,0,43,0,0,543.1123562370982,3332,50
2026-05-15 01:07:45,7148,10,10,19,19,75,7073,4,71,3,2,558.9255735870173,4454,50
2026-05-15 01:08:00,7375,7,10,19,19,52,7323,4,50,0,4,624.96,1257,50
2026-05-15 01:08:15,5877,7,7,12,12,20,5857,0,20,0,0,517.1909137314957,1256,50
2026-05-15 01:08:30,7953,9,11,16,16,21,7932,0,21,0,0,722.5516157424871,1259,50
2026-05-15 01:08:45,5218,9,10,15,15,28,5188,0,28,0,0,590.5289382905328,2885,50
2026-05-15 01:09:00,2011,6,6,10,10,5,2006,0,5,0,0,566.8170064644455,1258,50
